audio_id;Date;Group;Bat_flying;Bat_roosting;Dyad;flight_time;n_inquiry;n_response
367;09/23/2022;3;982126058484312;982126058484346;982126058484312  982126058484346;300;103;0
369;09/23/2022;3;982126058484334;982126058484312;982126058484334  982126058484312;107;32;0
370;09/28/2022;5;982126051278549;982126058484301;982126051278549  982126058484301;300;39;0
373;09/28/2022;5;900200000279415;982126058484260;900200000279415  982126058484260;100;1;0
375;09/28/2022;5;982126058484301;900200000279415;982126058484301  900200000279415;300;127;0
376;09/28/2022;5;982126058484260;982126058484301;982126058484260  982126058484301;300;79;43
377;09/28/2022;5;900200000279415;982126051278549;900200000279415  982126051278549;300;34;0
378;09/28/2022;5;982126051278549;982126058484260;982126051278549  982126058484260;300;22;107
379;09/28/2022;5;982126058484260;900200000279415;982126058484260  900200000279415;300;79;0
380;09/28/2022;5;900200000279415;982126058484260;900200000279415  982126058484260;300;44;147
382;09/29/2022;4;982126057846209;982126057846156;982126057846209  982126057846156;300;70;0
383;09/29/2022;12;982126057845205;982126057845162;982126057845205  982126057845162;300;53;172
384;09/29/2022;4;982126057846156;982126057846209;982126057846156  982126057846209;300;133;128
385;09/29/2022;12;982126057845162;982126057845205;982126057845162  982126057845205;300;100;0
386;10/4/2022;1;900200000279533;982126058484331;900200000279533  982126058484331;300;88;135
387;10/4/2022;2;982126057846227;982126058484287;982126057846227  982126058484287;300;91;0
390;10/4/2022;1;982126057845190;982126058484331;982126057845190  982126058484331;64;12;0
391;10/4/2022;2;982126058484287;982126057846227;982126058484287  982126057846227;300;81;0
392;10/4/2022;1;982126057845190;900200000279533;982126057845190  900200000279533;300;38;0
393;10/4/2022;2;982126057846227;900200000206691;982126057846227  900200000206691;300;69;0
394;10/4/2022;1;982126058484331;982126057845190;982126058484331  982126057845190;300;94;348
396;10/4/2022;2;900200000206691;982126057846227;900200000206691  982126057846227;25;8;8
397;10/4/2022;1;900200000279533;982126057845190;900200000279533  982126057845190;155;29;33
398;10/4/2022;1;982126057845190;982126058484331;982126057845190  982126058484331;300;36;0
399;10/4/2022;2;900200000206691;982126057846227;900200000206691  982126057846227;300;87;0
400;10/5/2022;6;982126057845067;982126057845225;982126057845067  982126057845225;300;0;0
401;10/5/2022;6;900200000279517;982126051278470;900200000279517  982126051278470;300;17;2
402;10/5/2022;8;982126051278475;982126057846186;982126051278475  982126057846186;186;26;137
403;10/5/2022;6;982126057845225;900200000279517;982126057845225  900200000279517;300;66;0
404;10/5/2022;8;982126057846186;900200000279820;982126057846186  900200000279820;300;40;0
405;10/5/2022;6;982126051278470;982126057845067;982126051278470  982126057845067;300;119;171
406;10/5/2022;6;982126057845067;900200000279517;982126057845067  900200000279517;300;25;0
407;10/5/2022;8;900200000279820;982126051278475;900200000279820  982126051278475;300;123;0
408;10/5/2022;6;982126057845225;982126051278470;982126057845225  982126051278470;300;94;23
409;10/5/2022;6;900200000279517;982126057845067;900200000279517  982126057845067;300;7;1
410;10/5/2022;6;982126051278470;982126057845225;982126051278470  982126057845225;300;75;21
411;10/31/2022;8;982126051278475;982126057846186;982126051278475  982126057846186;300;21;406
412;10/31/2022;7;982126051278564;982126051278504;982126051278564  982126051278504;300;94;109
413;10/31/2022;8;900200000279820;982126051278475;900200000279820  982126051278475;300;110;0
414;10/31/2022;7;982126051278504;982126057846208;982126051278504  982126057846208;300;179;226
415;10/31/2022;8;982126057846186;900200000279820;982126057846186  900200000279820;300;106;327
416;10/31/2022;7;982126057846208;982126051278564;982126057846208  982126051278564;300;46;0
417;10/31/2022;8;982126057846186;982126051278475;982126057846186  982126051278475;300;43;0
418;10/31/2022;7;982126051278504;982126051278564;982126051278504  982126051278564;300;173;0
419;10/31/2022;8;982126051278475;900200000279820;982126051278475  900200000279820;300;14;0
420;10/31/2022;7;982126057846208;982126051278504;982126057846208  982126051278504;60;0;0
421;10/31/2022;8;900200000279820;982126057846186;900200000279820  982126057846186;300;108;281
422;11/1/2022;9,2;982126058484300;982126058484277;982126058484300  982126058484277;300;37;60
423;11/1/2022;3;982126058484334;982126058484346;982126058484334  982126058484346;300;122;0
424;11/1/2022;9,2;982126057846159;982126058484277;982126057846159  982126058484277;300;65;0
425;11/1/2022;3;982126057846193;982126058484312;982126057846193  982126058484312;68;4;0
427;11/1/2022;3;982126058484334;900200000279490;982126058484334  900200000279490;300;111;0
428;11/1/2022;9,2;982126057846159;982126058484300;982126057846159  982126058484300;300;37;0
429;11/1/2022;3;982126058484346;982126057846193;982126058484346  982126057846193;300;153;454
430;11/1/2022;9,2;982126058484277;982126057846159;982126058484277  982126057846159;300;99;468
431;11/1/2022;3;982126057846193;982126058484312;982126057846193  982126058484312;134;20;0
432;11/1/2022;9,2;982126058484300;982126057846159;982126058484300  982126057846159;300;54;366
433;11/1/2022;3;982126058484312;982126058484346;982126058484312  982126058484346;84;42;0
434;11/1/2022;3;982126058484312;982126058484346;982126058484312  982126058484346;300;76;0
435;11/2/2022;5;982126057845098;900200000279415;982126057845098  900200000279415;300;54;2
436;11/2/2022;11;982126057846231;982126057845085;982126057846231  982126057845085;300;NA;NA
437;11/2/2022;5;982126057845119;982126057845098;982126057845119  982126057845098;300;106;308
439;11/2/2022;5;982126058484301;982126057845087;982126058484301  982126057845087;21;2;0
440;11/2/2022;5;982126058484301;982126057845087;982126058484301  982126057845087;8;0;0
441;11/2/2022;5;982126058484260;982126057845098;982126058484260  982126057845098;300;88;119
442;11/2/2022;11;982126057845085;982126057846231;982126057845085  982126057846231;300;70;0
