data_id;Group;Date;Bat1;Bat2;Bat3;Bat4;Bat5;Bat6;Bat7;Bat8
1727;5;3/7/2022;982126058484260;982126057845098;982126058484301;982126057845119;900200000279415;982126057845087;982126051278549;NA
1734;6;3/7/2022;900200000279517;982126057846207;982126057845067;982126057845225;982126051278470;NA;NA;NA
1739;8;4/7/2022;900200000279820;982126051278475;982126057846228;982126057846186;NA;NA;NA;NA
1743;10;4/7/2022;982126057845082;982126057845079;900200000206430;982126057845106;982126052945921;982126057846246;982126057845238;NA
1750;3;4/7/2022;982126058484312;982126057845131;900200000279490;NA;NA;NA;NA;NA
1753;1;5/7/2022;982126057845190;982126058484331;982126057845069;900200000279533;982126058484296;982126057845181;NA;NA
1759;2;5/7/2022;982126057845093;982126057846241;982126058484287;900200000206691;982126057846227;NA;NA;NA
1764;13;7/7/2022;982126051278521;982126057846222;982126057845058;NA;NA;NA;NA;NA
1767;9;7/7/2022;982126058484300;982126058484277;982126057846159;NA;NA;NA;NA;NA
1770;1;7/7/2022;982126057845181;NA;NA;NA;NA;NA;NA;NA
1771;1;7/7/2022;982126058484331;982126057845190;900200000279533;NA;NA;NA;NA;NA
1774;1;7/7/2022;982126057845069;982126058484296;NA;NA;NA;NA;NA;NA
1776;12;7/7/2022;982126057845205;982126057845204;982126057845162;982126057845142;NA;NA;NA;NA
1780;7;7/7/2022;982126057845081;982126051278564;982126058484305;982126057846208;NA;NA;NA;NA
1784;4;12/7/2022;982126057846209;982126057846156;NA;NA;NA;NA;NA;NA
1786;11;12/7/2022;982126057845085;982126058484302;982126057846231;NA;NA;NA;NA;NA
1789;3;12/7/2022;982126058484346;982126057846193;982126058484334;982126058484312;900200000279490;NA;NA;NA
1794;12;13/7/2022;982126057845205;982126057845204;982126057845162;982126057845142;NA;NA;NA;NA
1798;7;13/7/2022;982126057845081;982126051278564;982126058484305;982126051278504;982126057846208;NA;NA;NA
1803;7;13/7/2022;982126057846218;NA;NA;NA;NA;NA;NA;NA
1804;13;14/7/2022;982126058484300;982126057845145;982126058484277;982126057846159;NA;NA;NA;NA
1808;8;14/7/2022;900200000279820;982126051278475;982126057846228;982126057846186;NA;NA;NA;NA
1812;9;14/7/2022;982126058484277;982126057846159;982126058484300;NA;NA;NA;NA;NA
1815;2;15/7/2022;982126058484287;982126057846241;900200000206691;982126057845093;982126057846227;NA;NA;NA
1820;9;15/7/2022;982126057845145;982126057845058;982126051278521;982126057846222;NA;NA;NA;NA
1824;10;18/7/2022;982126052945921;982126057846246;900200000206430;982126057845106;982126057845079;982126057845238;NA;NA
1830;10;18/7/2022;982126058484260;NA;NA;NA;NA;NA;NA;NA
1831;5;18/7/2022;982126057845098;982126058484301;982126057845119;900200000279415;982126057845087;982126051278549;NA;NA
1837;7;13/9/2022;982126057846208;982126051278504;982126051278564;982126058484305;982126057845081;NA;NA;NA
1842;7;13/9/2022;982126057846218;NA;NA;NA;NA;NA;NA;NA
1843;8;13/9/2022;982126057846186;982126051278475;982126057846228;NA;NA;NA;NA;NA
1846;1;14/9/2022;982126057845190;982126057845069;982126058484331;900200000279533;NA;NA;NA;NA
1850;5;14/9/2022;982126057845119;982126057845087;982126051278549;982126058484260;982126058484301;900200000279415;982126057845098;NA
1857;6;14/9/2022;900200000279517;982126057845225;982126051278470;982126057846207;982126057845067;NA;NA;NA
1862;11;15/9/2022;982126058484302;982126057845122;982126057846231;982126057845085;NA;NA;NA;NA
1866;9;16/9/2022;982126058484300;982126058484277;982126057846159;NA;NA;NA;NA;NA
1869;13;16/9/2022;982126051278521;982126051278540;982126057846222;NA;NA;NA;NA;NA
1872;7;21/9/2022;982126057845081;982126051278504;982126057846208;982126058484305;982126051278564;NA;NA;NA
1877;11;21/9/2022;982126057846231;982126058484302;982126057845122;982126057845085;NA;NA;NA;NA
1881;8;21/9/2022;982126051278475;982126057846186;982126057846228;900200000279820;NA;NA;NA;NA
1885;10;21/9/2022;982126057846246;982126057845079;982126052945921;982126057845238;900200000206430;982126057845106;NA;NA
1891;5;23/9/2022;982126058484301;982126058484260;NA;NA;NA;NA;NA;NA
1893;3;23/9/2022;982126057846193;982126058484346;982126058484334;900200000279490;982126058484312;NA;NA;NA
1898;5;28/9/2022;982126058484301;982126057845119;982126057845098;982126051278549;982126058484260;900200000279415;982126057845087;NA
1905;4;29/9/2022;982126057846209;982126057846156;NA;NA;NA;NA;NA;NA
1907;12;29/9/2022;982126057845205;982126057845204;982126057845162;982126057845142;NA;NA;NA;NA
1911;2;4/10/2022;900200000206691;982126058484287;982126057845093;982126057846227;NA;NA;NA;NA
1915;1;4/10/2022;982126057845190;982126057845069;900200000279533;982126058484331;NA;NA;NA;NA
1919;6;5/10/2022;982126057845067;900200000279517;982126051278470;982126057845225;NA;NA;NA;NA
1923;8;5/10/2022;900200000279820;982126057846228;982126057846186;982126051278475;NA;NA;NA;NA
1927;8;31/10/2022;982126057846228;982126051278475;982126057846186;900200000279820;NA;NA;NA;NA
1931;7;31/10/2022;982126057846208;982126051278564;982126051278504;982126057845081;NA;NA;NA;NA
1935;9;1/11/2022;982126058484300;982126058484277;982126057846159;NA;NA;NA;NA;NA
1938;3;1/11/2022;982126057846193;982126058484346;982126058484334;900200000279490;982126058484312;NA;NA;NA
1943;11;2/11/2022;982126057846231;982126058484302;982126057845085;NA;NA;NA;NA;NA
1946;5;2/11/2022;982126058484301;982126057845119;982126057845098;982126058484260;900200000279415;982126057845087;NA;NA
1952;13;4/11/2022;982126051278521;982126051278540;982126057846222;982126057846218;NA;NA;NA;NA
1956;2;4/11/2022;982126058484287;982126057846241;900200000206691;982126057845093;982126057846227;NA;NA;NA
1961;10;8/11/2022;982126057846246;982126057845079;982126052945921;982126057845238;900200000206430;982126057845106;NA;NA
1967;12;9/11/2022;982126057845205;982126057845204;982126057845162;982126057845142;NA;NA;NA;NA
1971;1;9/11/2022;982126057845190;982126057845069;900200000279533;982126058484331;NA;NA;NA;NA
1975;6;14/11/2022;900200000279517;982126057846207;982126057845067;982126057845225;982126051278470;NA;NA;NA
1980;8;7/12/2022;982126057846228;982126051278475;982126057846186;900200000279820;NA;NA;NA;NA
1984;7;7/12/2022;982126057846208;982126051278564;982126051278504;982126057845081;NA;NA;NA;NA
1988;10;7/12/2022;982126057846246;982126057845079;982126052945921;982126057845238;900200000206430;982126057845106;NA;NA
1994;9;7/12/2022;982126058484300;982126058484277;982126057846159;NA;NA;NA;NA;NA
1997;5;7/12/2022;982126058484301;982126057845119;982126057845098;982126058484260;900200000279415;982126051278549;NA;NA
2003;11;7/12/2022;982126057846231;982126058484302;982126057845085;NA;NA;NA;NA;NA
