"date","group","bat_flying","bat_roosting","dyad","flight_time","n_inquiry","n_response","sri","kinship","flying.sex","roosting.sex","dyad.sex","udyad.sex","year"
"2022-11-04","2022_2","bat982126057845093","bat900200000206691","bat900200000206691_bat982126057845093",300,44,1,0.291666666666667,NA,"female","male","female-->male","mixed-sex","2022"
"2022-11-04","2021_9","bat982126057846218","bat982126051278521","bat982126051278521_bat982126057846218",300,13,0,0.03125,NA,"female","female","female-->female","female-female","2022"
"2022-11-04","2022_2","bat900200000206691","bat982126057845093","bat900200000206691_bat982126057845093",300,88,24,0.291666666666667,NA,"male","female","male-->female","mixed-sex","2022"
"2022-11-08","2022_10","bat982126057846246","bat900200000206430","bat900200000206430_bat982126057846246",300,90,0,0.333333333333333,NA,"male","female","male-->female","mixed-sex","2022"
"2022-11-08","2022_10","bat982126052945921","bat982126057845106","bat982126052945921_bat982126057845106",300,111,383,0.166666666666667,NA,"female","male","female-->male","mixed-sex","2022"
"2022-11-08","2022_10","bat982126057845106","bat982126057846246","bat982126057845106_bat982126057846246",300,103,8,0.368421052631579,NA,"male","male","male-->male","male-male","2022"
"2022-11-08","2022_10","bat900200000206430","bat982126052945921","bat900200000206430_bat982126052945921",300,156,0,0.82,0,"female","female","female-->female","female-female","2022"
"2022-11-08","2022_10","bat982126052945921","bat982126057846246","bat982126052945921_bat982126057846246",300,98,0,0.355555555555556,NA,"female","male","female-->male","mixed-sex","2022"
"2022-11-08","2022_10","bat982126057845079","bat982126057845238","bat982126057845079_bat982126057845238",300,68,0,0.137254901960784,NA,"female","male","female-->male","mixed-sex","2022"
"2022-11-08","2022_10","bat982126057846246","bat982126057845106","bat982126057845106_bat982126057846246",300,81,34,0.368421052631579,NA,"male","male","male-->male","male-male","2022"
"2022-11-08","2022_10","bat982126057845238","bat982126057845079","bat982126057845079_bat982126057845238",300,100,318,0.137254901960784,NA,"male","female","male-->female","mixed-sex","2022"
"2022-11-09","2022_1","bat982126058484331","bat900200000279533","bat900200000279533_bat982126058484331",300,162,18,0.973684210526316,0,"female","male","female-->male","mixed-sex","2022"
"2022-11-09","2022_12","bat982126057845205","bat982126057845142","bat982126057845142_bat982126057845205",225,93,559,0.275862068965517,NA,"female","male","female-->male","mixed-sex","2022"
"2022-11-09","2022_1","bat982126057845190","bat982126057845069","bat982126057845069_bat982126057845190",300,67,548,0.172413793103448,NA,"female","male","female-->male","mixed-sex","2022"
"2022-11-09","2022_12","bat982126057845142","bat982126057845162","bat982126057845142_bat982126057845162",300,92,52,0.266666666666667,NA,"male","male","male-->male","male-male","2022"
"2022-11-09","2022_1","bat982126057845069","bat900200000279533","bat900200000279533_bat982126057845069",300,46,12,0.128205128205128,NA,"male","male","male-->male","male-male","2022"
"2022-11-09","2022_12","bat982126057845162","bat982126057845204","bat982126057845162_bat982126057845204",128,54,72,0.777777777777778,0.25,"male","male","male-->male","male-male","2022"
"2022-11-09","2022_1","bat900200000279533","bat982126057845069","bat900200000279533_bat982126057845069",300,77,358,0.128205128205128,NA,"male","male","male-->male","male-male","2022"
