data_id;Group;Date;Bat1;Bat2;Bat3;Bat4;Bat5;Bat6;Bat7;Bat8;Bat9;Bat10
323;10;12/3/2021;900200000206430;982126057845238;NA;NA;NA;NA;NA;NA;NA;NA
325;1;12/3/2021;982126058484272;982126058484351;982126058484291;900200000279533;982126058484331;982126058484337;NA;NA;NA;NA
331;2;13/3/2021;982126058484287;982126058484254;NA;NA;NA;NA;NA;NA;NA;NA
333;12;13/3/2021;982126057845204;NA;NA;NA;NA;NA;NA;NA;NA;NA
334;9;13/3/2021;982126058484263;982126051278521;982126058484300;982126058484277;982126058484315;NA;NA;NA;NA;NA
339;8;13/3/2021;900200000279820;982126058484326;982126058484339;982126051278475;NA;NA;NA;NA;NA;NA
343;7;13/3/2021;982000359237615;982126051278564;982126052945896;982126058484305;982126051278504;NA;NA;NA;NA;NA
348;11;13/3/2021;982126058484299;982126058484302;NA;NA;NA;NA;NA;NA;NA;NA
350;10;13/3/2021;982126052945921;982126051278540;982126058484318;900200000206430;982126057845238;NA;NA;NA;NA;NA
355;2;13/3/2021;900200000206691;NA;NA;NA;NA;NA;NA;NA;NA;NA
356;12;13/3/2021;982126057845162;982126057845205;NA;NA;NA;NA;NA;NA;NA;NA
358;1;13/3/2021;982126058484272;982126058484351;982126058484291;900200000279533;982126058484331;982126058484337;NA;NA;NA;NA
364;10;14/3/2021;982126052945921;982126051278540;982126058484318;900200000206430;982126057845238;NA;NA;NA;NA;NA
369;6;14/3/2021;982126057845067;982126051278470;982126057845206;900200000279506;900200000279517;900200000279779;900200000279470;982126057845225;982126057846151;NA
378;5;14/3/2021;982126051278549;982126058484290;900200000279415;NA;NA;NA;NA;NA;NA;NA
381;7;14/3/2021;982000359237615;982126051278564;982126052945896;982126058484305;982126051278504;NA;NA;NA;NA;NA
386;1;14/3/2021;982126058484272;982126058484351;982126058484291;900200000279533;982126058484331;982126058484337;NA;NA;NA;NA
392;9;14/3/2021;982126058484263;982126051278521;982126058484300;982126058484277;982126058484315;NA;NA;NA;NA;NA
397;4;14/3/2021;982126051278491;900200000279422;NA;NA;NA;NA;NA;NA;NA;NA
399;3;15/3/2021;982126058484312;982126058484334;982126058484346;900200000279490;NA;NA;NA;NA;NA;NA
403;12;15/3/2021;982126057845204;982126057845205;NA;NA;NA;NA;NA;NA;NA;NA
405;7;15/3/2021;982000359237615;982126051278564;982126052945896;982126058484305;982126051278504;NA;NA;NA;NA;NA
410;4;15/3/2021;982126051278491;900200000279422;NA;NA;NA;NA;NA;NA;NA;NA
412;10;15/3/2021;982126052945921;982126051278540;982126058484318;900200000206430;982126057845238;NA;NA;NA;NA;NA
417;1;15/3/2021;982126058484272;982126058484351;982126058484291;900200000279533;982126058484331;982126058484337;NA;NA;NA;NA
423;9;15/3/2021;982126058484263;982126051278521;982126058484300;982126058484277;982126058484315;NA;NA;NA;NA;NA
428;1;16/3/2021;982126058484272;982126058484351;982126058484291;900200000279533;982126058484331;982126058484337;NA;NA;NA;NA
434;6;16/3/2021;982126057845067;982126051278470;982126057845206;900200000279506;900200000279517;900200000279470;982126057845225;982126057846151;NA;NA
442;5;16/3/2021;982126051278549;982126058484290;900200000279415;NA;NA;NA;NA;NA;NA;NA
445;10;16/3/2021;982126052945921;982126051278540;982126058484318;900200000206430;982126057845238;NA;NA;NA;NA;NA
450;9;16/3/2021;982126058484263;982126051278521;982126058484300;982126058484277;982126058484315;NA;NA;NA;NA;NA
455;7;16/3/2021;982000359237615;982126051278564;982126052945896;982126058484305;982126051278504;NA;NA;NA;NA;NA
460;1;17/3/2021;982126058484272;982126058484351;982126058484291;900200000279533;982126058484331;982126058484337;NA;NA;NA;NA
466;2;17/3/2021;900200000206691;982126058484287;982126058484254;982126057845204;982126057845162;982126057845205;NA;NA;NA;NA
472;3;17/3/2021;982126058484346;982126058484334;982126058484312;900200000279490;NA;NA;NA;NA;NA;NA
476;4;17/3/2021;982126051278491;900200000279422;NA;NA;NA;NA;NA;NA;NA;NA
478;7;17/3/2021;982000359237615;982126051278564;982126052945896;982126058484305;982126051278504;NA;NA;NA;NA;NA
483;8;17/3/2021;900200000279820;982126058484339;982126051278475;NA;NA;NA;NA;NA;NA;NA
486;10;17/3/2021;982126052945921;982126051278540;982126058484318;900200000206430;982126057845238;NA;NA;NA;NA;NA
491;1;18/3/2021;982126058484272;982126058484351;982126058484291;NA;NA;NA;NA;NA;NA;NA
494;3;18/3/2021;982126058484346;982126058484334;982126058484312;900200000279490;NA;NA;NA;NA;NA;NA
498;4;18/3/2021;900200000279422;NA;NA;NA;NA;NA;NA;NA;NA;NA
499;5;18/3/2021;982126051278549;982126058484290;900200000279415;NA;NA;NA;NA;NA;NA;NA
502;10;18/3/2021;982126057845238;982126058484263;NA;NA;NA;NA;NA;NA;NA;NA
504;6;18/3/2021;982126057845067;982126051278470;982126057845206;900200000279506;900200000279517;900200000279470;982126057845225;982126057846151;NA;NA
512;9;18/3/2021;982126058484263;982126051278521;982126058484300;982126058484277;982126058484315;NA;NA;NA;NA;NA
517;7;18/3/2021;982000359237615;982126051278564;982126052945896;982126058484305;982126051278504;NA;NA;NA;NA;NA
522;7;18/4/2021;982000359237615;982126051278564;982126052945896;982126058484305;982126051278504;NA;NA;NA;NA;NA
527;9;18/4/2021;982126058484263;982126051278521;982126058484300;982126058484277;982126058484315;982126057846222;NA;NA;NA;NA
533;1;18/4/2021;982126058484272;982126058484351;982126058484291;982126058484260;900200000279533;982126058484331;982126058484337;982126057845190;NA;NA
541;8;18/4/2021;982126058484339;NA;NA;NA;NA;NA;NA;NA;NA;NA
542;3;18/4/2021;982126058484346;982126058484334;982126058484312;900200000279490;NA;NA;NA;NA;NA;NA
546;11;18/4/2021;982126058484299;982126058484302;982126058484310;NA;NA;NA;NA;NA;NA;NA
549;5;18/4/2021;982126051278549;982126058484290;900200000279415;NA;NA;NA;NA;NA;NA;NA
552;6;18/4/2021;982126057845067;982126051278470;900200000279506;900200000279517;900200000279470;982126057845225;982126057846151;NA;NA;NA
559;2;19/4/2021;900200000206691;982126058484287;982126058484254;982126057845204;982126057845162;982126057845205;NA;NA;NA;NA
565;10;19/4/2021;982126052945921;982126051278540;982126058484318;900200000206430;982126057845238;NA;NA;NA;NA;NA
570;8;19/4/2021;900200000279820;982126058484339;982126051278475;NA;NA;NA;NA;NA;NA;NA
573;1;19/4/2021;982126058484272;982126058484351;982126058484291;982126058486260;900200000279533;982126058484331;982126058484337;982126057845190;NA;NA
581;5;19/4/2021;982126051278549;982126058484290;900200000279415;NA;NA;NA;NA;NA;NA;NA
584;11;20/4/2021;982126058484299;982126058484302;NA;NA;NA;NA;NA;NA;NA;NA
586;5;20/4/2021;982126051278549;982126058484290;900200000279415;NA;NA;NA;NA;NA;NA;NA
589;10;20/4/2021;982126052945921;982126051278540;982126058484318;900200000206430;982126057845238;NA;NA;NA;NA;NA
594;6;20/4/2021;982126057845067;982126051278470;900200000279506;900200000279517;900200000279470;982126057845225;982126057846151;NA;NA;NA
601;1;20/4/2021;982126058484272;982126058484351;982126058484291;982126058486260;900200000279533;982126058484331;982126058484337;982126057845190;NA;NA
609;2;20/4/2021;900200000206691;982126058484287;982126058484254;982126057845204;982126057845162;982126057845205;NA;NA;NA;NA
615;6;21/4/2021;900200000279517;900200000279470;982126057845225;982126057846151;982126057845067;NA;NA;NA;NA;NA
620;5;21/4/2021;982126051278549;982126058484290;900200000279415;NA;NA;NA;NA;NA;NA;NA
623;1;21/4/2021;982126058484272;982126058484351;982126058484291;982126058486260;900200000279533;982126058484331;982126058484337;982126057845190;NA;NA
631;10;21/4/2021;982126052945921;982126051278540;982126058484318;900200000206430;982126057845238;NA;NA;NA;NA;NA
636;2;21/4/2021;982126058484287;982126058484254;982126057845204;982126057845205;NA;NA;NA;NA;NA;NA
640;11;21/4/2021;982126058484299;982126058484302;NA;NA;NA;NA;NA;NA;NA;NA
642;3;21/4/2021;982126058484346;982126058484334;982126058484312;900200000279490;NA;NA;NA;NA;NA;NA
646;7;21/4/2021;982000359237615;982126051278564;982126052945896;982126058484305;982126051278504;982000359237615;982126051278564;NA;NA;NA
653;1;22/4/2021;982126058484272;982126058484351;982126058484291;982126058486260;900200000279533;982126058484331;982126058484337;982126057845190;NA;NA
661;2;22/4/2021;982126058484287;982126058484254;982126057845204;982126057845205;982126057845162;NA;NA;NA;NA;NA
666;3;22/4/2021;982126058484346;982126058484334;982126058484312;900200000279490;NA;NA;NA;NA;NA;NA
670;4;22/4/2021;982126051278491;900200000279422;NA;NA;NA;NA;NA;NA;NA;NA
672;5;22/4/2021;982126051278549;982126058484290;900200000279415;NA;NA;NA;NA;NA;NA;NA
675;8;22/4/2021;900200000279820;982126058484339;982126051278475;NA;NA;NA;NA;NA;NA;NA
678;10;22/4/2021;982126052945921;982126051278540;982126058484318;900200000206430;982126057845238;NA;NA;NA;NA;NA
683;11;22/4/2021;982126058484299;982126058484302;NA;NA;NA;NA;NA;NA;NA;NA
685;1;23/4/2021;982126058484272;982126058484351;982126058484291;982126058486260;900200000279533;982126058484331;982126058484337;982126057845190;NA;NA
693;2;23/4/2021;982126058484287;982126058484254;982126057845204;982126057845205;982126057845162;NA;NA;NA;NA;NA
699;5;23/4/2021;982126051278549;982126058484290;900200000279415;NA;NA;NA;NA;NA;NA;NA
702;8;23/4/2021;900200000279820;982126058484339;982126051278475;NA;NA;NA;NA;NA;NA;NA
705;10;23/4/2021;982126052945921;982126051278540;982126058484318;900200000206430;982126057845238;NA;NA;NA;NA;NA
710;11;23/4/2021;982126058484299;982126058484302;NA;NA;NA;NA;NA;NA;NA;NA
712;1;24/4/2021;982126058484272;982126058484351;982126058484291;982126058484260;900200000279533;982126058484331;982126058484337;982126057845190;NA;NA
720;2;24/4/2021;982126058484287;982126058484254;982126057845204;982126057845205;982126057845162;NA;NA;NA;NA;NA
725;3;24/4/2021;982126058484334;982126058484312;900200000279490;NA;NA;NA;NA;NA;NA;NA
728;5;24/4/2021;982126051278549;982126058484290;900200000279415;NA;NA;NA;NA;NA;NA;NA
731;7;24/4/2021;982000359237615;982126058484305;NA;NA;NA;NA;NA;NA;NA;NA
733;8;24/4/2021;900200000279820;982126058484339;982126051278475;NA;NA;NA;NA;NA;NA;NA
736;10;24/4/2021;982126052945921;982126051278540;982126058484318;900200000206430;982126057845238;NA;NA;NA;NA;NA
741;1;25/4/2021;982126058484272;982126058484351;982126058484291;982126058486260;900200000279533;982126058484331;982126058484337;982126057845190;NA;NA
749;2;25/4/2021;982126058484287;982126057845204;982126057845162;982126057845205;NA;NA;NA;NA;NA;NA
754;6;25/4/2021;982126057845067;982126051278470;900200000279506;900200000279517;900200000279470;982126057845225;982126057846151;NA;NA;NA
761;7;25/4/2021;982000359237615;982126058484305;982126052945896;982126051278504;982126051278564;NA;NA;NA;NA;NA
766;8;25/4/2021;900200000279820;982126058484339;982126051278475;NA;NA;NA;NA;NA;NA;NA
769;9;25/4/2021;982126058484300;982126058484263;982126058484315;NA;NA;NA;NA;NA;NA;NA
772;10;25/4/2021;982126052945921;982126051278540;982126058484318;900200000206430;982126057845238;NA;NA;NA;NA;NA
777;11;25/4/2021;982126058484299;982126058484302;982126058484310;NA;NA;NA;NA;NA;NA;NA
780;1;26/4/2021;982126058484272;982126058484351;982126058484291;900200000279533;982126058484331;982126058484337;982126057845190;NA;NA;NA
787;2;26/4/2021;900200000206691;982126058484287;982126058484254;982126057845204;NA;NA;NA;NA;NA;NA
791;4;26/4/2021;982126051278491;900200000279422;NA;NA;NA;NA;NA;NA;NA;NA
793;5;26/4/2021;982126051278549;982126058484290;900200000279415;NA;NA;NA;NA;NA;NA;NA
796;6;26/4/2021;982126051278470;900200000279506;900200000279517;NA;NA;NA;NA;NA;NA;NA
799;8;26/4/2021;900200000279820;982126058484339;982126051278475;NA;NA;NA;NA;NA;NA;NA
802;9;26/4/2021;982126058484263;982126051278521;982126057846222;NA;NA;NA;NA;NA;NA;NA
805;11;26/4/2021;982126058484299;982126058484302;NA;NA;NA;NA;NA;NA;NA;NA
807;2;27/4/2021;982126058484287;982126057845204;982126057845205;982126057845162;NA;NA;NA;NA;NA;NA
811;3;27/4/2021;982126058484346;982126058484334;982126058484312;900200000279490;NA;NA;NA;NA;NA;NA
815;6;27/4/2021;982126057845067;982126051278470;900200000279506;900200000279517;900200000279470;982126057845225;NA;NA;NA;NA
821;10;27/4/2021;982126052945921;982126051278540;982126058484318;900200000206430;982126057845238;NA;NA;NA;NA;NA
826;11;27/4/2021;982126058484299;982126058484302;NA;NA;NA;NA;NA;NA;NA;NA
828;8;27/4/2021;900200000279820;982126051278475;NA;NA;NA;NA;NA;NA;NA;NA
